timestamp_ms,qw,qx,qy,qz,flex_thumb,flex_upper_index,flex_lower_index,flex_upper_middle,flex_lower_middle
126,0.9927,0.1169,0.0281,0.007,0.073,0.51,0.276,0.484,0.958
254,0.9929,0.113,0.0369,0.0113,0.077,0.508,0.274,0.499,0.959
386,0.9933,0.108,0.0386,0.0131,0.076,0.507,0.278,0.497,0.954
515,0.9941,0.1009,0.0388,0.0112,0.071,0.52,0.277,0.479,0.967
645,0.9941,0.1014,0.0367,0.008,0.079,0.501,0.278,0.494,0.967
775,0.9943,0.1005,0.0336,0.0082,0.073,0.504,0.278,0.49,0.961
904,0.9944,0.1006,0.0319,0.007,0.077,0.503,0.282,0.499,0.966
1037,0.9942,0.1031,0.0303,0.0071,0.078,0.498,0.278,0.498,0.967
1166,0.9941,0.1039,0.0297,0.0076,0.074,0.506,0.284,0.499,0.957
1295,0.994,0.1045,0.0295,0.0085,0.073,0.5,0.28,0.501,0.962
1425,0.994,0.1055,0.0289,0.0095,0.082,0.507,0.277,0.509,0.969
1555,0.9938,0.1071,0.0292,0.0085,0.076,0.5,0.281,0.497,0.963
1685,0.9919,0.1226,0.0308,0.0073,0.081,0.523,0.288,0.514,0.968
1817,0.9881,0.1501,0.0336,0.0044,0.084,1.0,0.34,0.539,0.998
1962,0.9835,0.1781,0.0335,0.002,0.129,1.0,0.364,0.56,1.0
2075,0.9773,0.2095,0.0308,-0.0048,0.164,1.0,0.432,0.613,1.0
2200,0.969,0.2452,0.0287,-0.0115,0.212,1.0,0.442,0.688,1.0
2327,0.9613,0.2733,0.0293,-0.0178,0.274,1.0,0.456,0.743,1.0
2455,0.9547,0.2947,0.0368,-0.0192,0.507,1.0,0.511,0.774,1.0
2585,0.9511,0.3038,0.0525,-0.0176,0.702,1.0,0.586,0.8,1.0
2717,0.9423,0.3286,0.063,-0.0159,0.832,1.0,0.676,0.822,1.0
2847,0.9331,0.353,0.0673,-0.0127,0.926,1.0,0.77,0.863,1.0
2976,0.9293,0.3608,0.0781,-0.0093,0.954,1.0,0.82,0.899,1.0
3105,0.9294,0.3598,0.0812,-0.0092,0.951,1.0,0.834,0.907,1.0
3237,0.9283,0.3629,0.081,-0.0087,0.95,1.0,0.826,0.9,1.0
3368,0.9281,0.3634,0.0806,-0.0089,0.941,1.0,0.821,0.907,1.0
3496,0.9279,0.3638,0.0807,-0.0095,0.937,1.0,0.822,0.9,1.0
3627,0.9266,0.3675,0.0786,-0.0101,0.941,1.0,0.814,0.892,1.0
3757,0.9265,0.3681,0.0771,-0.0121,0.936,1.0,0.802,0.903,1.0
3886,0.9272,0.3686,0.0611,-0.0266,0.886,1.0,0.76,0.878,1.0
4017,0.9266,0.373,0.0338,-0.0352,0.771,1.0,0.622,0.791,1.0
4147,0.9314,0.3619,0.0137,-0.0374,0.629,1.0,0.462,0.767,1.0
4278,0.9392,0.3419,0.0004,-0.032,0.494,1.0,0.36,0.694,1.0
4406,0.952,0.3044,-0.0071,-0.0309,0.366,1.0,0.312,0.619,1.0
4537,0.9619,0.2714,-0.0133,-0.0303,0.26,0.579,0.273,0.562,0.986
4668,0.9712,0.2359,-0.0128,-0.0308,0.201,0.559,0.267,0.537,0.982
4798,0.9772,0.2098,-0.0089,-0.0314,0.1,0.549,0.262,0.529,0.991
4929,0.9807,0.194,-0.0023,-0.0252,0.002,0.522,0.244,0.51,0.953
5057,0.9921,0.124,-0.0032,-0.0219,0.0,0.53,0.232,0.518,0.96
5210,0.9961,0.0848,-0.0084,-0.0224,0.0,0.526,0.226,0.507,0.951
5316,0.9962,0.0829,-0.0061,-0.0245,0.0,0.516,0.227,0.51,0.95
